source_name,feed_url,site_domain,language,region_scope,permission_status,terms_url,notes
"Amar Ujala-Varanasi","https://www.amarujala.com/rss/varanasi.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Muzaffarnagar","https://www.amarujala.com/rss/muzaffarnagar.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Lakhimpur Kheri","https://www.amarujala.com/rss/lakhimpur-kheri.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Lalitpur","https://www.amarujala.com/rss/lalitpur.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Mainpuri","https://www.amarujala.com/rss/mainpuri.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Shamli","https://www.amarujala.com/rss/shamli.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Rampur","https://www.amarujala.com/rss/rampur.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Shravasti","https://www.amarujala.com/rss/shravasti.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala- Ghaziabad","https://www.amarujala.com/rss/ghaziabad.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Sambhal","https://www.amarujala.com/rss/sambhal.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Sant Kabir Nagar","https://www.amarujala.com/rss/sant-kabir-nagar.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Sitapur","https://www.amarujala.com/rss/sitapur.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Shahjahanpur","https://www.amarujala.com/rss/shahjahanpur.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Siddharthnagar","https://www.amarujala.com/rss/siddharthnagar.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Hathras","https://www.amarujala.com/rss/hathras.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Sultanpur","https://www.amarujala.com/rss/sultanpur.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Saharanpur","https://www.amarujala.com/rss/saharanpur.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Sonebhadra","https://www.amarujala.com/rss/sonebhadra.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Hamirpur","https://www.amarujala.com/rss/hamirpur.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Amar Ujala-Hardoi","https://www.amarujala.com/rss/hardoi.xml","www.amarujala.com","Hindi","District","RESTRICTED","https://www.amarujala.com/terms-and-conditions","Bars automated collection and AI use"
"Live Hindustan","https://feed.livehindustan.com/rss/5026","feed.livehindustan.com","Hindi","State","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Lucknow","https://feed.livehindustan.com/rss/5028","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Moradabad","https://feed.livehindustan.com/rss/5036","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Bareilly","https://feed.livehindustan.com/rss/5032","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Maharajganj","https://feed.livehindustan.com/rss/5048","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Azamgarh","https://feed.livehindustan.com/rss/5037","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Ballia","https://feed.livehindustan.com/rss/5038","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Sonbhadra","https://feed.livehindustan.com/rss/5045","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Mau","https://feed.livehindustan.com/rss/5043","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Chandauli","https://feed.livehindustan.com/rss/5040","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Barabanki","https://feed.livehindustan.com/rss/1348440","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Varanasi","https://feed.livehindustan.com/rss/5029","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Basti","https://feed.livehindustan.com/rss/5046","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Ghazipur","https://feed.livehindustan.com/rss/5041","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Meerut","https://feed.livehindustan.com/rss/5031","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Kushinagar","https://feed.livehindustan.com/rss/1237903","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Bhadohi","https://feed.livehindustan.com/rss/5039","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Gorakhpur","https://feed.livehindustan.com/rss/5030","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Jaunpur","https://feed.livehindustan.com/rss/5042","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Siddharth Nagar","https://feed.livehindustan.com/rss/5051","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
"Hindustan-Agra","https://feed.livehindustan.com/rss/5033","feed.livehindustan.com","Hindi","District","RESTRICTED","https://livehindustan.com/terms-of-use","Bars automated collection"
